,candidate_name,candidate_party,link,seat_name,state
54,BOLLING Roger,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/cook/,Cook,NSW
55,McSWEYN John Neil,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/cook/,Cook,NSW
56,MEADS Ruth,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/cowp/,Cowper,NSW
57,CONAGHAN Pat,The Nationals,https://www.abc.net.au/news/elections/federal/2019/guide/cowp/,Cowper,NSW
58,STEWART Alexander,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/cowp/,Cowper,NSW
59,WOODWARD Andrew,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/cowp/,Cowper,NSW
60,OAKESHOTT Robert,Independent,https://www.abc.net.au/news/elections/federal/2019/guide/cowp/,Cowper,NSW
61,EDWARDS Lauren,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/cowp/,Cowper,NSW
62,PEARCE Kellie,Animal Justice Party,https://www.abc.net.au/news/elections/federal/2019/guide/cowp/,Cowper,NSW
63,GREEN Allan,Independent,https://www.abc.net.au/news/elections/federal/2019/guide/cowp/,Cowper,NSW
64,ATLEE Chris,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/cunn/,Cunningham,NSW
65,HUXTABLE Rowan,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/cunn/,Cunningham,NSW
66,BIRD Sharon,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/cunn/,Cunningham,NSW
67,FLANAGAN John,Non-Custodial Parents Party (Equal Parenting),https://www.abc.net.au/news/elections/federal/2019/guide/cunn/,Cunningham,NSW
68,GILL John,Sustainable Australia,https://www.abc.net.au/news/elections/federal/2019/guide/cunn/,Cunningham,NSW
69,YOUNGER Grace Louise,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/cunn/,Cunningham,NSW
70,HARPLEY-CARR Aaron Gregory,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/dobe/,Dobell,NSW
71,GRUNDY Paula,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/dobe/,Dobell,NSW
72,PILON Jilly,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/dobe/,Dobell,NSW
73,RICKARD Scott,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/dobe/,Dobell,NSW
74,McBRIDE Emma,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/dobe/,Dobell,NSW
75,STEPHENSON Gregory Francis,Independent,https://www.abc.net.au/news/elections/federal/2019/guide/dobe/,Dobell,NSW
76,KELLY Mike,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/emon/,Eden-Monaro,NSW
77,KOTVOJS Fiona,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/emon/,Eden-Monaro,NSW
78,McGINLAY Pat,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/emon/,Eden-Monaro,NSW
79,SHELDON David William,Independent,https://www.abc.net.au/news/elections/federal/2019/guide/emon/,Eden-Monaro,NSW
80,WADE Sophie,The Nationals,https://www.abc.net.au/news/elections/federal/2019/guide/emon/,Eden-Monaro,NSW
81,HARRIS Thomas,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/emon/,Eden-Monaro,NSW
82,SINGH Chandra,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/emon/,Eden-Monaro,NSW
83,HOLGATE James,Independent,https://www.abc.net.au/news/elections/federal/2019/guide/emon/,Eden-Monaro,NSW
84,LEY Sussan,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/farr/,Farrer,NSW
85,HAMILTON Ross,Sustainable Australia,https://www.abc.net.au/news/elections/federal/2019/guide/farr/,Farrer,NSW
86,DRABSCH Kieran,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/farr/,Farrer,NSW
87,MACK Kevin Francis,Independent,https://www.abc.net.au/news/elections/federal/2019/guide/farr/,Farrer,NSW
