mntl_bh_p_me_2_rate_3_11_7_13, mntl_bh_f_me_3_rrmse_3_11_7_13, mntl_bh_p_me_3_rrmse_3_11_7_13, mntl_bh_p_me_1_no_3_11_7_13, area_code, mntl_bh_f_me_2_rate_3_11_7_13, mntl_bh_m_me_2_rate_3_11_7_13, mntl_bh_f_me_1_no_3_11_7_13, mntl_bh_m_me_1_no_3_11_7_13, mntl_bh_m_me_3_rrmse_3_11_7_13
15.272440724378,3.0,3.0,3229.7081885,101011001,17.0123858826024,13.4754328277142,1827.3613107,1402.3468778,3.0
12.3031278829018,3.0,3.0,1499.2765967,101011002,12.6779354480748,11.9805737469285,753.5417033,745.7348934,3.0
13.7483652374553,3.0,3.0,872.9303098,101011003,15.3678541422655,12.0150726304837,494.012346,378.9179638,3.0
11.0494560327086,3.0,3.0,1223.8492045,101011004,11.1302630519819,10.9724979413201,595.8651657,627.9840388,3.0
14.0318338978042,3.0,3.0,1454.6120753147,101011005,15.4103895490569,12.653401413976,794.715118010184,659.896957304515,3.0
14.0318338978042,3.0,3.0,1046.2453000853,101011006,15.4103895490569,12.653401413976,571.607352389816,474.637947695485,3.0
12.5823695670621,3.0,3.0,446.0158329,101021007,12.5671238159276,12.7464103251795,215.7722601,230.2435728,3.0
12.248161897506,3.0,3.0,1119.63422752098,101021008,13.4144207387149,11.0900155742922,604.395724235505,515.238503285477,3.0
12.6890952255424,3.0,3.0,314.9682034,101031013,13.025690772192,12.4440367585108,153.7640434,161.20416,3.0
14.8844438060992,3.0,3.0,998.6090328,101031014,16.4933930250449,13.2323701450047,561.6915543,436.9174785,3.0
12.4546222079676,3.0,3.0,388.13458416421,101031015,13.2155617712479,11.7520611340195,194.107056052551,194.027528111659,3.0
12.4546222079676,3.0,3.0,814.53251473579,101031016,13.2155617712479,11.7520611340195,407.349705347449,407.182809388341,3.0
15.8170796052439,3.0,3.0,1225.57113708286,101041017,16.9261640604945,14.7374222386354,670.309209810913,555.261927271948,3.0
15.8170796052439,3.0,3.0,1342.65768009264,101041018,16.9261640604945,14.7374222386354,734.348077690251,608.309602402393,3.0
14.7305099059136,3.0,3.0,1261.04985255436,101041019,16.168967735044,13.3936696258427,686.033065888635,575.016786665727,3.0
12.248161897506,3.0,3.0,1332.23454072351,101021009,13.4144207387149,11.0900155742922,719.160633267665,613.073907455847,3.0
12.248161897506,3.0,3.0,604.081722755506,101021010,13.4144207387149,11.0900155742922,326.09257679683,277.989145958676,3.0
10.2460180395259,3.0,3.0,1522.88959963337,101021011,11.0019043807169,9.52499816979733,795.560680054496,727.328919578876,3.0
14.7305099059136,3.0,3.0,1374.36566704564,101041020,16.168967735044,13.3936696258427,747.678841011365,626.686826034273,3.0
15.8170796052439,3.0,3.0,461.814147324495,101041021,16.9261640604945,14.7374222386354,252.582870798836,209.231276525659,3.0
15.8830159602129,3.0,3.0,9.67647553382865,101041022,16.4580976578093,15.3553251179486,5.00899433082599,4.66748120300266,3.0
14.9492320106862,3.0,3.0,487.5071142,101041023,14.9641308138032,14.9109017311029,251.2220964,236.2850178,3.0
10.2460180395259,3.0,3.0,1356.78562416663,101021012,11.0019043807169,9.52499816979733,708.787619345504,647.998004821124,3.0
15.8830159602129,3.0,3.0,544.938359010351,101041024,16.4580976578093,15.3553251179486,282.085470209674,262.852888800676,3.0
13.6758315733906,3.0,3.0,1399.0044052,101041025,13.2893009317702,14.1774921890727,703.9086019,695.0958033,3.0
15.8830159602129,3.0,3.0,1293.0827042311,101041026,16.4580976578093,15.3553251179486,669.359821366694,623.722882864409,3.0
15.8830159602129,3.0,3.0,1465.39187382472,101041027,16.4580976578093,15.3553251179486,758.555071292806,706.836802531912,3.0
12.5875693765281,3.0,3.0,937.378861462362,102011028,12.574235811359,12.5770458072066,467.60757448893,469.771286973432,3.0
12.5875693765281,3.0,3.0,1382.52681393764,102011029,12.574235811359,12.5770458072066,689.66779251107,692.859021426568,3.0
12.7464689194982,3.0,3.0,589.844675445331,102011030,13.7204550436579,11.7534014907252,314.415950616436,275.428724828895,3.0
14.1815176492473,3.0,3.0,1942.03764462362,102011031,15.6461286348013,12.5637844550412,1125.77810119874,816.259543424876,3.0
15.1666005390412,3.0,3.0,2796.07586304723,102011032,16.17251314142,14.1119802857795,1546.84750104888,1249.22836199835,3.0
12.4126564475657,3.0,3.0,804.294581059564,102011033,14.4993016386384,10.2954142050856,468.636047775247,335.658533284318,3.0
14.1815176492473,3.0,3.0,1015.74055441652,102011034,15.6461286348013,12.5637844550412,588.81375231179,426.926802104726,3.0
12.7464689194982,3.0,3.0,865.763425953219,102011035,13.7204550436579,11.7534014907252,461.494088040221,404.269337912998,3.0
14.1815176492473,3.0,3.0,948.014992059866,102011038,15.6461286348013,12.5637844550412,549.553980389468,398.461011670398,3.0
12.3843557040075,3.0,3.0,1668.02663953016,102011039,12.4958948252195,12.2777001507635,851.70394067508,816.322698855077,3.0
17.147757006922,3.0,3.0,3986.32981769106,102011040,18.4869880345355,15.6746226542468,2241.69140050873,1744.63841718232,3.0
12.3843557040075,3.0,3.0,1206.52201426984,102011041,12.4958948252195,12.2777001507635,616.05703992492,590.464974344923,3.0
17.147757006922,3.0,3.0,2344.39001880894,102011042,18.4869880345355,15.6746226542468,1318.35527539127,1026.03474341768,3.0
15.1666005390412,3.0,3.0,1731.58940215277,102011043,16.17251314142,14.1119802857795,957.951382851123,773.638019301651,3.0
16.7855946670467,3.0,3.0,3645.00015035829,102021044,18.3263782860527,15.0492159270544,2088.66595557538,1556.33419478291,3.0
