city,country,iso2,admin
Port Denison,Australia,AU,Western Australia
Halls Creek,Australia,AU,Western Australia
Cloncurry,Australia,AU,Queensland
Oatlands,Australia,AU,Tasmania
Winton,Australia,AU,Queensland
Ravensthorpe,Australia,AU,Western Australia
Exmouth,Australia,AU,Western Australia
Barcaldine,Australia,AU,Queensland
Streaky Bay,Australia,AU,South Australia
Norseman,Australia,AU,Western Australia
Yulara,Australia,AU,Northern Territory
Georgetown,Australia,AU,Queensland
Pannawonica,Australia,AU,Western Australia
Pine Creek,Australia,AU,Northern Territory
Meekatharra,Australia,AU,Western Australia
Kimba,Australia,AU,South Australia
Boulia,Australia,AU,Queensland
Onslow,Australia,AU,Western Australia
Quilpie,Australia,AU,Queensland
Cowell,Australia,AU,South Australia
Andamooka,Australia,AU,South Australia
Eidsvold,Australia,AU,Queensland
Woomera,Australia,AU,South Australia
Wilcannia,Australia,AU,New South Wales
Mount Magnet,Australia,AU,Western Australia
Hughenden,Australia,AU,Queensland
Laverton,Australia,AU,Western Australia
Richmond,Australia,AU,Queensland
Birdsville,Australia,AU,Queensland
Ivanhoe,Australia,AU,New South Wales
Morawa,Australia,AU,Western Australia
Theodore,Australia,AU,Queensland
Adelaide River,Australia,AU,Northern Territory
Leonora,Australia,AU,Western Australia
Kingston South East,Australia,AU,South Australia
Thargomindah,Australia,AU,Queensland
Burketown,Australia,AU,Queensland
Three Springs,Australia,AU,Western Australia
Southern Cross,Australia,AU,Western Australia
Camooweal,Australia,AU,Queensland
Bicheno,Australia,AU,Tasmania
Karumba,Australia,AU,Queensland
Windorah,Australia,AU,Queensland
Bedourie,Australia,AU,Queensland
Kingoonya,Australia,AU,South Australia
Melbourne,Australia,AU,Victoria
Currie,Australia,AU,Tasmania
